Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
PLSLIM-DDS-107	C35	33 pF	C0805C330J5GACTU	399-1115-1-ND	0.06	0.06	"Rev D, added"
PLSLIM-DDS-107	D7	"Diode, Shky"	MBRX0540	MBRX0540TPMSCT-ND	0.2	0.2	any diode as sub
PLSLIM-DDS-107	D8	"Diode, Shky"	MBRX0540	MBRX0540TPMSCT-ND	0.2	0.2	any diode as sub
PLSLIM-DDS-107	FB1						"RevA, deleted"
PLSLIM-DDS-107	J1	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-DDS-107	J2	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		"Not used in MSA, TG, or VNA"
PLSLIM-DDS-107	J3	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		"Not used in MSA, TG, or VNA"
PLSLIM-DDS-107	J4	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-DDS-107	L1	5.6 uH	MLF2012E5R6K	445-1056-1-ND	0.41	0.41	
PLSLIM-DDS-107	L2	5.6 uH	MLF2012E5R6K	445-1056-1-ND	0.41	0.41	
PLSLIM-DDS-107	L3	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	"Rev D, added"
PLSLIM-DDS-107	P1	Conn. 12 pin	 S1012-36-ND is row of 36 pins	(partial) S1012-36-ND	0.36	0.36	
PLSLIM-DDS-107	R1	10K	MCR10EZHF10.0K	RHM10.0KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R2	10K	MCR10EZHF10.0K	RHM10.0KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R3	49.9	MCR10EZHF49.9	RHM49.9CCT-ND	0.04	0.04	
PLSLIM-DDS-107	R4	49.9	MCR10EZHF49.9	RHM49.9CCT-ND	0.04	0.04	
PLSLIM-DDS-107	R5	49.9	MCR10EZHF49.9	RHM49.9CCT-ND	0.04	0.04	
PLSLIM-DDS-107	R6	3.9 K	MCR10EZHF3.90K	RHM3.90KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R7	10K	MCR10EZHF10.0K	RHM10.0KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R8	10	MCR10EZHF10.0	RHM10.0CCT-ND	0.04	0.04	
PLSLIM-DDS-107	R9	3K	MCR10EZHF3.00K	RHM3.00KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R10	100K	MCR10EZHF100K	RHM100KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R11	10K	MCR10EZHF10.0K	RHM10.0KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R12	10K	MCR10EZHF10.0K	RHM10.0KCCT-ND	0.04	0.04	
PLSLIM-DDS-107	R14	33	MCR10EZHF33.0	RHM33.0CCT-ND	0.04	0.04	"Rev C, was 49.9 ohm"
PLSLIM-DDS-107	R13	10	MCR10EZHF10.0	RHM10.0CCT-ND	0.04	0.04	"Rev B, added"
PLSLIM-DDS-107	U1	78M05	L78M05CDT	497-2956-5-ND	0.7	0.7	
PLSLIM-DDS-107	U2	AD9850	AD9850BRS	AD9850BRSZ-ND	18.77	18.77	
PLSLIM-DDS-107	U3	7SZ04	NC7SZ04M5X	NC7SZ04M5XCT-ND	0.33	0.33	
PLSLIM-DDS-107	XF1	ECS-10.7-15A	ECS-10.7-15A	X703-ND	3.09	3.09	
PLSLIM-DDS-107	PWB	Circuit Board	PWB-DDS		6.56	6.56	
				PLSLIM-DDS-107	75.32	28.18	
